id,title,skills,median_salary,growth_pct,education,sector,abilities,knowledge,work_activities,interests,job_zone
29-1023.00,Orthodontists,"Active Listening, Speaking, Critical Thinking, Monitoring, Complex Problem Solving, Reading Comprehension, Social Perceptiveness",254620,4.4,bachelor,29,"Problem Sensitivity, Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Inductive Reasoning","Medicine and Dentistry, Customer and Personal Service, English Language, Biology, Computers and Electronics, Mathematics, Administration and Management","Making Decisions and Solving Problems, Updating and Using Relevant Knowledge, Establishing and Maintaining Interpersonal Relationships, Developing and Building Teams, Documenting/Recording Information, Communicating with Supervisors, Peers, or Subordinates, Getting Information","Investigative, Realistic, Conventional, Social, Artistic, Enterprising",5
29-1215.00,Family Medicine Physicians,"Critical Thinking, Reading Comprehension, Active Listening, Writing, Speaking, Active Learning, Monitoring",238380,2.7,bachelor,29,"Problem Sensitivity, Oral Comprehension, Oral Expression, Written Comprehension, Deductive Reasoning, Inductive Reasoning, Written Expression","Medicine and Dentistry, English Language, Therapy and Counseling, Psychology, Biology, Customer and Personal Service, Computers and Electronics","Assisting and Caring for Others, Documenting/Recording Information, Updating and Using Relevant Knowledge, Getting Information, Working with Computers, Interpreting the Meaning of Information for Others, Making Decisions and Solving Problems","Social, Investigative, Conventional, Realistic, Enterprising, Artistic",5
29-1216.00,General Internal Medicine Physicians,"Reading Comprehension, Active Listening, Writing, Speaking, Science, Critical Thinking, Social Perceptiveness",236350,3.3,bachelor,29,"Problem Sensitivity, Oral Comprehension, Oral Expression, Inductive Reasoning, Written Comprehension, Deductive Reasoning, Written Expression","Medicine and Dentistry, Biology, Therapy and Counseling, Psychology, Education and Training, English Language, Administration and Management","Assisting and Caring for Others, Updating and Using Relevant Knowledge, Documenting/Recording Information, Analyzing Data or Information, Making Decisions and Solving Problems, Getting Information, Interpreting the Meaning of Information for Others","Investigative, Social, Realistic, Conventional, Enterprising, Artistic",5
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers","Operation and Control, Operations Monitoring, Active Listening, Critical Thinking, Monitoring, Judgment and Decision Making, Reading Comprehension",226600,3.9,bachelor,53,"Response Orientation, Problem Sensitivity, Control Precision, Reaction Time, Near Vision, Far Vision, Deductive Reasoning","Transportation, English Language, Public Safety and Security, Mechanical, Geography, Mathematics, Computers and Electronics","Identifying Objects, Actions, and Events, Inspecting Equipment, Structures, or Materials, Making Decisions and Solving Problems, Monitoring Processes, Materials, or Surroundings, Evaluating Information to Determine Compliance with Standards, Getting Information, Operating Vehicles, Mechanized Devices, or Equipment","Realistic, Conventional, Enterprising, Investigative, Social, Artistic",4
29-1151.00,Nurse Anesthetists,"Reading Comprehension, Critical Thinking, Active Listening, Speaking, Active Learning, Monitoring, Complex Problem Solving",223210,8.6,bachelor,29,"Problem Sensitivity, Oral Comprehension, Written Comprehension, Information Ordering, Oral Expression, Written Expression, Deductive Reasoning","Medicine and Dentistry, Customer and Personal Service, Biology, Chemistry, Mathematics, Education and Training, English Language","Assisting and Caring for Others, Getting Information, Documenting/Recording Information, Updating and Using Relevant Knowledge, Making Decisions and Solving Problems, Identifying Objects, Actions, and Events, Analyzing Data or Information","Social, Realistic, Investigative, Conventional, Enterprising, Artistic",5
29-1221.00,"Pediatricians, General","Speaking, Critical Thinking, Judgment and Decision Making, Reading Comprehension, Active Listening, Writing, Science",210130,0.8,bachelor,29,"Oral Comprehension, Oral Expression, Inductive Reasoning, Written Comprehension, Problem Sensitivity, Written Expression, Deductive Reasoning","Medicine and Dentistry, Therapy and Counseling, Biology, Psychology, Customer and Personal Service, English Language, Sociology and Anthropology","Assisting and Caring for Others, Establishing and Maintaining Interpersonal Relationships, Updating and Using Relevant Knowledge, Making Decisions and Solving Problems, Documenting/Recording Information, Communicating with Supervisors, Peers, or Subordinates, Getting Information","Social, Investigative, Realistic, Conventional, Enterprising, Artistic",5
11-1011.00,Chief Executives,"Judgment and Decision Making, Critical Thinking, Complex Problem Solving, Speaking, Coordination, Systems Evaluation, Management of Financial Resources",206420,4.3,bachelor,11,"Oral Comprehension, Oral Expression, Written Comprehension, Speech Clarity, Written Expression, Deductive Reasoning, Problem Sensitivity","Administration and Management, Personnel and Human Resources, English Language, Customer and Personal Service, Economics and Accounting, Public Safety and Security, Computers and Electronics","Making Decisions and Solving Problems, Establishing and Maintaining Interpersonal Relationships, Communicating with Supervisors, Peers, or Subordinates, Guiding, Directing, and Motivating Subordinates, Coaching and Developing Others, Developing and Building Teams, Developing Objectives and Strategies","Enterprising, Conventional, Social, Investigative, Artistic, Realistic",5
29-1021.00,"Dentists, General","Critical Thinking, Judgment and Decision Making, Reading Comprehension, Active Listening, Speaking, Monitoring, Complex Problem Solving",172790,4.1,bachelor,29,"Problem Sensitivity, Finger Dexterity, Deductive Reasoning, Inductive Reasoning, Arm-Hand Steadiness, Near Vision, Oral Comprehension","Medicine and Dentistry, Customer and Personal Service, English Language, Biology, Psychology, Education and Training, Administration and Management","Getting Information, Performing for or Working Directly with the Public, Assisting and Caring for Others, Updating and Using Relevant Knowledge, Making Decisions and Solving Problems, Documenting/Recording Information, Evaluating Information to Determine Compliance with Standards","Investigative, Realistic, Social, Conventional, Enterprising, Artistic",5
11-3021.00,Computer and Information Systems Managers,"Critical Thinking, Reading Comprehension, Active Listening, Speaking, Monitoring, Judgment and Decision Making, Writing",171200,15.2,bachelor,11,"Oral Comprehension, Written Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Written Expression","Computers and Electronics, Customer and Personal Service, Administration and Management, Engineering and Technology, English Language, Personnel and Human Resources, Mathematics","Working with Computers, Making Decisions and Solving Problems, Getting Information, Communicating with Supervisors, Peers, or Subordinates, Identifying Objects, Actions, and Events, Organizing, Planning, and Prioritizing Work, Analyzing Data or Information","Conventional, Enterprising, Investigative, Realistic, Social, Artistic",4
11-9041.00,Architectural and Engineering Managers,"Reading Comprehension, Active Listening, Writing, Speaking, Complex Problem Solving, Mathematics, Critical Thinking",167740,3.8,bachelor,11,"Written Comprehension, Oral Comprehension, Oral Expression, Speech Clarity, Written Expression, Problem Sensitivity, Deductive Reasoning","Design, Engineering and Technology, Mathematics, Administration and Management, English Language, Customer and Personal Service, Mechanical","Getting Information, Communicating with Supervisors, Peers, or Subordinates, Working with Computers, Coordinating the Work and Activities of Others, Evaluating Information to Determine Compliance with Standards, Making Decisions and Solving Problems, Communicating with People Outside the Organization","Enterprising, Conventional, Investigative, Realistic, Social, Artistic",5
19-2012.00,Physicists,"Science, Reading Comprehension, Mathematics, Speaking, Critical Thinking, Active Listening, Writing",166290,4.0,bachelor,19,"Mathematical Reasoning, Written Comprehension, Number Facility, Oral Comprehension, Oral Expression, Fluency of Ideas, Originality","Physics, Mathematics, Engineering and Technology, Computers and Electronics, English Language, Education and Training, Chemistry","Analyzing Data or Information, Working with Computers, Getting Information, Processing Information, Making Decisions and Solving Problems, Updating and Using Relevant Knowledge, Identifying Objects, Actions, and Events","Investigative, Realistic, Conventional, Artistic, Social, Enterprising",5
11-3031.00,Financial Managers,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Writing, Monitoring, Social Perceptiveness",161700,14.8,bachelor,11,"Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Speech Clarity, Written Expression, Problem Sensitivity","Customer and Personal Service, Administration and Management, Economics and Accounting, Mathematics, Administrative, Law and Government, Personnel and Human Resources","Working with Computers, Establishing and Maintaining Interpersonal Relationships, Communicating with Supervisors, Peers, or Subordinates, Processing Information, Getting Information, Evaluating Information to Determine Compliance with Standards, Making Decisions and Solving Problems","Enterprising, Conventional, Social, Investigative, Artistic, Realistic",4
11-9121.00,Natural Sciences Managers,"Science, Reading Comprehension, Active Listening, Critical Thinking, Monitoring, Writing, Speaking",161180,3.7,bachelor,11,"Written Comprehension, Oral Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Inductive Reasoning, Information Ordering","Biology, English Language, Administration and Management, Computers and Electronics, Administrative, Chemistry, Mathematics","Monitoring Processes, Materials, or Surroundings, Making Decisions and Solving Problems, Organizing, Planning, and Prioritizing Work, Communicating with Supervisors, Peers, or Subordinates, Updating and Using Relevant Knowledge, Getting Information, Establishing and Maintaining Interpersonal Relationships","Investigative, Enterprising, Conventional, Realistic, Social, Artistic",5
11-2021.00,Marketing Managers,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Active Learning, Social Perceptiveness, Monitoring",161030,6.6,bachelor,11,"Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Fluency of Ideas, Inductive Reasoning","Sales and Marketing, English Language, Administration and Management, Customer and Personal Service, Communications and Media, Computers and Electronics, Mathematics","Communicating with Supervisors, Peers, or Subordinates, Establishing and Maintaining Interpersonal Relationships, Working with Computers, Organizing, Planning, and Prioritizing Work, Making Decisions and Solving Problems, Getting Information, Thinking Creatively","Enterprising, Conventional, Investigative, Social, Artistic, Realistic",4
23-1023.00,"Judges, Magistrate Judges, and Magistrates","Active Listening, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Writing, Speaking, Complex Problem Solving",156210,2.5,bachelor,23,"Oral Comprehension, Deductive Reasoning, Written Comprehension, Oral Expression, Inductive Reasoning, Written Expression, Speech Clarity","Law and Government, English Language, Administration and Management, Psychology, Customer and Personal Service, Public Safety and Security, Computers and Electronics","Making Decisions and Solving Problems, Getting Information, Performing for or Working Directly with the Public, Evaluating Information to Determine Compliance with Standards, Processing Information, Updating and Using Relevant Knowledge, Judging the Qualities of Objects, Services, or People","Enterprising, Conventional, Social, Investigative, Realistic, Artistic",5
17-2061.00,Computer Hardware Engineers,"Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Complex Problem Solving, Active Learning",155020,7.3,bachelor,17,"Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Inductive Reasoning, Information Ordering, Problem Sensitivity","Computers and Electronics, Engineering and Technology, Design, Mathematics, English Language, Physics, Telecommunications","Working with Computers, Making Decisions and Solving Problems, Updating and Using Relevant Knowledge, Analyzing Data or Information, Getting Information, Thinking Creatively, Processing Information","Realistic, Investigative, Conventional, Enterprising, Artistic, Social",4
29-1081.00,Podiatrists,"Reading Comprehension, Active Listening, Speaking, Critical Thinking, Active Learning, Writing, Monitoring",152800,1.8,bachelor,29,"Deductive Reasoning, Written Comprehension, Written Expression, Problem Sensitivity, Inductive Reasoning, Oral Comprehension, Oral Expression","Medicine and Dentistry, Customer and Personal Service, English Language, Education and Training, Computers and Electronics, Administration and Management, Biology","Assisting and Caring for Others, Documenting/Recording Information, Working with Computers, Getting Information, Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Processing Information","Investigative, Realistic, Social, Conventional, Enterprising, Artistic",5
23-1011.00,Lawyers,"Active Listening, Speaking, Reading Comprehension, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Writing",151160,4.1,bachelor,23,"Oral Expression, Oral Comprehension, Written Comprehension, Speech Clarity, Written Expression, Deductive Reasoning, Inductive Reasoning","Law and Government, English Language, Customer and Personal Service, Administration and Management, Personnel and Human Resources, Computers and Electronics, Economics and Accounting","Getting Information, Making Decisions and Solving Problems, Evaluating Information to Determine Compliance with Standards, Resolving Conflicts and Negotiating with Others, Providing Consultation and Advice to Others, Interpreting the Meaning of Information for Others, Identifying Objects, Actions, and Events","Enterprising, Conventional, Investigative, Social, Artistic, Realistic",5
53-2021.00,Air Traffic Controllers,"Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Monitoring, Complex Problem Solving, Coordination",144580,1.2,bachelor,53,"Problem Sensitivity, Oral Comprehension, Oral Expression, Selective Attention, Deductive Reasoning, Inductive Reasoning, Speed of Closure","Transportation, English Language, Public Safety and Security, Education and Training, Customer and Personal Service, Geography, Telecommunications","Making Decisions and Solving Problems, Identifying Objects, Actions, and Events, Getting Information, Monitoring Processes, Materials, or Surroundings, Communicating with Supervisors, Peers, or Subordinates, Processing Information, Training and Teaching Others","Conventional, Realistic, Enterprising, Social, Investigative, Artistic",3
17-2171.00,Petroleum Engineers,"Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Complex Problem Solving, Judgment and Decision Making",141280,1.3,bachelor,17,"Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning","Engineering and Technology, Mathematics, Physics, Computers and Electronics, Chemistry, Administration and Management, Economics and Accounting","Analyzing Data or Information, Making Decisions and Solving Problems, Working with Computers, Getting Information, Identifying Objects, Actions, and Events, Processing Information, Organizing, Planning, and Prioritizing Work","Realistic, Investigative, Conventional, Enterprising, Artistic, Social",4
15-1221.00,Computer and Information Research Scientists,"Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Reading Comprehension, Active Listening, Systems Analysis, Programming",140910,19.7,bachelor,15,"Deductive Reasoning, Inductive Reasoning, Oral Comprehension, Oral Expression, Written Comprehension, Fluency of Ideas, Problem Sensitivity","Computers and Electronics, Mathematics, Engineering and Technology, English Language, Administration and Management, Design, Telecommunications","Working with Computers, Making Decisions and Solving Problems, Getting Information, Updating and Using Relevant Knowledge, Analyzing Data or Information, Thinking Creatively, Documenting/Recording Information","Investigative, Conventional, Realistic, Artistic, Enterprising, Social",5
11-3111.00,Compensation and Benefits Managers,"Reading Comprehension, Active Listening, Writing, Speaking, Critical Thinking, Judgment and Decision Making, Active Learning",140360,0.2,bachelor,11,"Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Problem Sensitivity, Speech Clarity, Speech Recognition","Personnel and Human Resources, English Language, Administration and Management, Customer and Personal Service, Economics and Accounting, Mathematics, Administrative","Communicating with Supervisors, Peers, or Subordinates, Establishing and Maintaining Interpersonal Relationships, Getting Information, Working with Computers, Making Decisions and Solving Problems, Evaluating Information to Determine Compliance with Standards, Updating and Using Relevant Knowledge","Enterprising, Conventional, Social, Investigative, Artistic, Realistic",4
11-3121.00,Human Resources Managers,"Active Listening, Speaking, Management of Personnel Resources, Reading Comprehension, Judgment and Decision Making, Writing, Social Perceptiveness",140030,5.0,bachelor,11,"Oral Comprehension, Oral Expression, Written Comprehension, Written Expression, Deductive Reasoning, Speech Recognition, Speech Clarity","Personnel and Human Resources, Administration and Management, English Language, Law and Government, Education and Training, Customer and Personal Service, Psychology","Communicating with Supervisors, Peers, or Subordinates, Establishing and Maintaining Interpersonal Relationships, Resolving Conflicts and Negotiating with Others, Staffing Organizational Units, Making Decisions and Solving Problems, Getting Information, Evaluating Information to Determine Compliance with Standards","Enterprising, Conventional, Social, Investigative, Artistic, Realistic",4
11-3061.00,Purchasing Managers,"Active Listening, Speaking, Management of Personnel Resources, Reading Comprehension, Writing, Monitoring, Social Perceptiveness",139510,3.1,bachelor,11,"Oral Comprehension, Oral Expression, Written Comprehension, Fluency of Ideas, Deductive Reasoning, Speech Recognition, Speech Clarity","Administration and Management, Customer and Personal Service, English Language, Law and Government, Economics and Accounting, Computers and Electronics, Mathematics","Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Communicating with People Outside the Organization, Getting Information, Working with Computers, Organizing, Planning, and Prioritizing Work, Establishing and Maintaining Interpersonal Relationships","Enterprising, Conventional, Social, Realistic, Investigative, Artistic",4
19-3094.00,Political Scientists,"Reading Comprehension, Active Listening, Speaking, Active Learning, Writing, Critical Thinking, Social Perceptiveness",139380,-3.1,bachelor,19,"Written Comprehension, Oral Comprehension, Oral Expression, Written Expression, Inductive Reasoning, Speech Clarity, Speech Recognition","Law and Government, English Language, Education and Training, History and Archeology, Mathematics, Communications and Media, Sociology and Anthropology","Analyzing Data or Information, Getting Information, Updating and Using Relevant Knowledge, Processing Information, Interpreting the Meaning of Information for Others, Identifying Objects, Actions, and Events, Training and Teaching Others","Investigative, Artistic, Enterprising, Conventional, Social, Realistic",5
11-2022.00,Sales Managers,"Persuasion, Active Listening, Speaking, Reading Comprehension, Critical Thinking, Social Perceptiveness, Coordination",138060,4.7,bachelor,11,"Oral Comprehension, Written Comprehension, Oral Expression, Written Expression, Deductive Reasoning, Speech Recognition, Speech Clarity","Sales and Marketing, Customer and Personal Service, English Language, Administration and Management, Education and Training, Computers and Electronics, Communications and Media","Selling or Influencing Others, Thinking Creatively, Communicating with Supervisors, Peers, or Subordinates, Establishing and Maintaining Interpersonal Relationships, Organizing, Planning, and Prioritizing Work, Coaching and Developing Others, Working with Computers","Enterprising, Conventional, Social, Investigative, Realistic, Artistic",4
29-1051.00,Pharmacists,"Reading Comprehension, Active Listening, Speaking, Writing, Critical Thinking, Monitoring, Judgment and Decision Making",137480,4.6,bachelor,29,"Oral Expression, Oral Comprehension, Written Comprehension, Problem Sensitivity, Near Vision, Written Expression, Deductive Reasoning","Medicine and Dentistry, Mathematics, Customer and Personal Service, English Language, Chemistry, Biology, Psychology","Documenting/Recording Information, Updating and Using Relevant Knowledge, Evaluating Information to Determine Compliance with Standards, Making Decisions and Solving Problems, Getting Information, Working with Computers, Processing Information","Investigative, Social, Conventional, Realistic, Enterprising, Artistic",5
15-1243.00,Database Architects,"Reading Comprehension, Critical Thinking, Complex Problem Solving, Judgment and Decision Making, Systems Analysis, Active Listening, Speaking",135980,8.7,bachelor,15,"Oral Comprehension, Written Comprehension, Deductive Reasoning, Oral Expression, Problem Sensitivity, Inductive Reasoning, Information Ordering","Computers and Electronics, Engineering and Technology, Design, Mathematics, English Language, Administration and Management, Education and Training","Working with Computers, Analyzing Data or Information, Getting Information, Processing Information, Making Decisions and Solving Problems, Updating and Using Relevant Knowledge, Communicating with Supervisors, Peers, or Subordinates","Conventional, Investigative, Enterprising, Realistic, Artistic, Social",4
29-1041.00,Optometrists,"Reading Comprehension, Active Listening, Critical Thinking, Writing, Speaking, Social Perceptiveness, Science",134830,8.0,bachelor,29,"Oral Expression, Problem Sensitivity, Oral Comprehension, Written Comprehension, Deductive Reasoning, Inductive Reasoning, Near Vision","Medicine and Dentistry, Biology, Customer and Personal Service, English Language, Mathematics, Education and Training, Therapy and Counseling","Assisting and Caring for Others, Making Decisions and Solving Problems, Updating and Using Relevant Knowledge, Documenting/Recording Information, Getting Information, Performing for or Working Directly with the Public, Processing Information","Investigative, Social, Realistic, Conventional, Enterprising, Artistic",5
17-2011.00,Aerospace Engineers,"Critical Thinking, Reading Comprehension, Science, Active Listening, Writing, Speaking, Mathematics",134830,6.1,bachelor,17,"Written Comprehension, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Information Ordering, Oral Comprehension, Oral Expression","Engineering and Technology, Mathematics, Design, Physics, Computers and Electronics, English Language, Mechanical","Working with Computers, Processing Information, Analyzing Data or Information, Making Decisions and Solving Problems, Getting Information, Identifying Objects, Actions, and Events, Updating and Using Relevant Knowledge","Investigative, Realistic, Conventional, Enterprising, Artistic, Social",4
29-1071.00,Physician Assistants,"Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Social Perceptiveness, Service Orientation",133260,20.4,bachelor,29,"Oral Comprehension, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Written Comprehension, Oral Expression, Written Expression","Medicine and Dentistry, Biology, English Language, Psychology, Therapy and Counseling, Customer and Personal Service, Education and Training","Assisting and Caring for Others, Getting Information, Updating and Using Relevant Knowledge, Communicating with Supervisors, Peers, or Subordinates, Documenting/Recording Information, Making Decisions and Solving Problems, Establishing and Maintaining Interpersonal Relationships","Social, Investigative, Conventional, Realistic, Enterprising, Artistic",5
19-2011.00,Astronomers,"Reading Comprehension, Science, Critical Thinking, Active Listening, Writing, Mathematics, Active Learning",132170,2.2,bachelor,19,"Oral Expression, Deductive Reasoning, Inductive Reasoning, Mathematical Reasoning, Oral Comprehension, Written Comprehension, Written Expression","Mathematics, Physics, Computers and Electronics, English Language, Engineering and Technology, Education and Training, Chemistry","Working with Computers, Analyzing Data or Information, Getting Information, Making Decisions and Solving Problems, Thinking Creatively, Processing Information, Updating and Using Relevant Knowledge","Investigative, Realistic, Conventional, Artistic, Social, Enterprising",5
15-1241.00,Computer Network Architects,"Critical Thinking, Reading Comprehension, Active Listening, Complex Problem Solving, Speaking, Judgment and Decision Making, Writing",130390,11.9,bachelor,15,"Oral Comprehension, Written Comprehension, Deductive Reasoning, Information Ordering, Written Expression, Problem Sensitivity, Inductive Reasoning","Computers and Electronics, Telecommunications, Engineering and Technology, English Language, Design, Mathematics, Administration and Management","Working with Computers, Analyzing Data or Information, Making Decisions and Solving Problems, Updating and Using Relevant Knowledge, Identifying Objects, Actions, and Events, Getting Information, Processing Information","Investigative, Conventional, Realistic, Enterprising, Artistic, Social",4
29-1171.00,Nurse Practitioners,"Reading Comprehension, Active Listening, Critical Thinking, Complex Problem Solving, Writing, Speaking, Active Learning",129210,40.1,bachelor,29,"Written Comprehension, Problem Sensitivity, Inductive Reasoning, Oral Expression, Written Expression, Deductive Reasoning, Near Vision","Medicine and Dentistry, English Language, Biology, Psychology, Customer and Personal Service, Therapy and Counseling, Education and Training","Documenting/Recording Information, Making Decisions and Solving Problems, Getting Information, Assisting and Caring for Others, Updating and Using Relevant Knowledge, Identifying Objects, Actions, and Events, Establishing and Maintaining Interpersonal Relationships","Investigative, Social, Conventional, Realistic, Enterprising, Artistic",5
